country,states,id,country_iso2,country_norm,emoji_flag
Uruguay,"[{""name"": ""Artigas"", ""active"": true}, {""name"": ""Canelones"", ""active"": true}, {""name"": ""Cerro Largo"", ""active"": true}, {""name"": ""Colonia"", ""active"": true}, {""name"": ""Durazno"", ""active"": true}, {""name"": ""Flores"", ""active"": true}, {""name"": ""Florida"", ""active"": true}, {""name"": ""Lavalleja"", ""active"": true}, {""name"": ""Maldonado"", ""active"": true}, {""name"": ""Montevideo"", ""active"": true}, {""name"": ""Paysandú"", ""active"": true}, {""name"": ""Río Negro"", ""active"": true}, {""name"": ""Rivera"", ""active"": true}, {""name"": ""Rocha"", ""active"": true}, {""name"": ""Salto"", ""active"": true}, {""name"": ""San José"", ""active"": true}, {""name"": ""Soriano"", ""active"": true}, {""name"": ""Tacuarembó"", ""active"": true}, {""name"": ""Treinta y Tres"", ""active"": true}]",95bfff10-7429-4f8f-a52a-e50c51ccb2ca,UR, ruguay,🇺🇷
Vanuatu,"[{""name"": ""Malampa"", ""active"": true}, {""name"": ""Penama"", ""active"": true}, {""name"": ""Sanma"", ""active"": true}, {""name"": ""Shefa"", ""active"": true}, {""name"": ""Tafea"", ""active"": true}, {""name"": ""Torba"", ""active"": true}]",8f740058-8b60-447b-b585-49e0d710702b,VA, anuatu,🇻🇦
Vietnam,"[{""name"": ""An Giang"", ""active"": true}, {""name"": ""Bà Rịa–Vũng Tàu"", ""active"": true}, {""name"": ""Bắc Giang"", ""active"": true}, {""name"": ""Bắc Kạn"", ""active"": true}, {""name"": ""Bạc Liêu"", ""active"": true}, {""name"": ""Bắc Ninh"", ""active"": true}, {""name"": ""Bến Tre"", ""active"": true}, {""name"": ""Bình Định"", ""active"": true}, {""name"": ""Bình Dương"", ""active"": true}, {""name"": ""Bình Phước"", ""active"": true}, {""name"": ""Bình Thuận"", ""active"": true}, {""name"": ""Cà Mau"", ""active"": true}, {""name"": ""Cần Thơ"", ""active"": true}, {""name"": ""Cao Bằng"", ""active"": true}, {""name"": ""Đắk Lắk"", ""active"": true}, {""name"": ""Đắk Nông"", ""active"": true}, {""name"": ""Điện Biên"", ""active"": true}, {""name"": ""Đồng Nai"", ""active"": true}, {""name"": ""Đồng Tháp"", ""active"": true}, {""name"": ""Gia Lai"", ""active"": true}, {""name"": ""Hà Giang"", ""active"": true}, {""name"": ""Hà Nam"", ""active"": true}, {""name"": ""Hà Tĩnh"", ""active"": true}, {""name"": ""Hải Dương"", ""active"": true}, {""name"": ""Hải Phòng"", ""active"": true}, {""name"": ""Hậu Giang"", ""active"": true}, {""name"": ""Hòa Bình"", ""active"": true}, {""name"": ""Hưng Yên"", ""active"": true}, {""name"": ""Khánh Hòa"", ""active"": true}, {""name"": ""Kiên Giang"", ""active"": true}, {""name"": ""Kon Tum"", ""active"": true}, {""name"": ""Lai Châu"", ""active"": true}, {""name"": ""Lâm Đồng"", ""active"": true}, {""name"": ""Lạng Sơn"", ""active"": true}, {""name"": ""Lào Cai"", ""active"": true}, {""name"": ""Long An"", ""active"": true}, {""name"": ""Nam Định"", ""active"": true}, {""name"": ""Nghệ An"", ""active"": true}, {""name"": ""Ninh Bình"", ""active"": true}, {""name"": ""Ninh Thuận"", ""active"": true}, {""name"": ""Phú Thọ"", ""active"": true}, {""name"": ""Phú Yên"", ""active"": true}, {""name"": ""Quảng Bình"", ""active"": true}, {""name"": ""Quảng Nam"", ""active"": true}, {""name"": ""Quảng Ngãi"", ""active"": true}, {""name"": ""Quảng Ninh"", ""active"": true}, {""name"": ""Quảng Trị"", ""active"": true}, {""name"": ""Sóc Trăng"", ""active"": true}, {""name"": ""Sơn La"", ""active"": true}, {""name"": ""Tây Ninh"", ""active"": true}, {""name"": ""Thái Bình"", ""active"": true}, {""name"": ""Thái Nguyên"", ""active"": true}, {""name"": ""Thanh Hóa"", ""active"": true}, {""name"": ""Thừa Thiên–Huế"", ""active"": true}, {""name"": ""Tiền Giang"", ""active"": true}, {""name"": ""Trà Vinh"", ""active"": true}, {""name"": ""Tuyên Quang"", ""active"": true}, {""name"": ""Vĩnh Long"", ""active"": true}, {""name"": ""Vĩnh Phúc"", ""active"": true}, {""name"": ""Yên Bái"", ""active"": true}, {""name"": ""Hanoi"", ""active"": true}, {""name"": ""Ho Chi Minh City"", ""active"": true}]",b359f329-223b-4d13-9840-39adaf667d7a,VI, ietnam,🇻🇮
Jordan,"[{""name"": ""Ajloun"", ""active"": true}, {""name"": ""Amman"", ""active"": true}, {""name"": ""Aqaba"", ""active"": true}, {""name"": ""Balqa"", ""active"": true}, {""name"": ""Irbid"", ""active"": true}, {""name"": ""Jerash"", ""active"": true}, {""name"": ""Karak"", ""active"": true}, {""name"": ""Ma'an"", ""active"": true}, {""name"": ""Madaba"", ""active"": true}, {""name"": ""Mafraq"", ""active"": true}, {""name"": ""Tafilah"", ""active"": true}, {""name"": ""Zarqa"", ""active"": true}]",b0cea534-465c-4958-81fa-4e2aad2d7207,JO, ordan,🇯🇴
Kazakhstan,"[{""name"": ""Almaty"", ""active"": true}, {""name"": ""Aqmola"", ""active"": true}, {""name"": ""Atyrau"", ""active"": true}, {""name"": ""East Kazakhstan"", ""active"": true}, {""name"": ""Jambyl"", ""active"": true}, {""name"": ""Karaganda"", ""active"": true}, {""name"": ""Kostanay"", ""active"": true}, {""name"": ""Kyzylorda"", ""active"": true}, {""name"": ""Mangystau"", ""active"": true}, {""name"": ""North Kazakhstan"", ""active"": true}, {""name"": ""Pavlodar"", ""active"": true}, {""name"": ""Turkistan"", ""active"": true}, {""name"": ""West Kazakhstan"", ""active"": true}, {""name"": ""Zhambyl"", ""active"": true}]",8c69ba5d-92c7-44e8-affe-312184ea8d53,KA, azakhstan,🇰🇦
Angola,"[{""name"": ""Bengo"", ""active"": true}, {""name"": ""Benguela"", ""active"": true}, {""name"": ""Bié"", ""active"": true}, {""name"": ""Cabinda"", ""active"": true}, {""name"": ""Cuando Cubango"", ""active"": true}, {""name"": ""Cuanza Norte"", ""active"": true}, {""name"": ""Cuanza Sul"", ""active"": true}, {""name"": ""Cunene"", ""active"": true}, {""name"": ""Huambo"", ""active"": true}, {""name"": ""Huíla"", ""active"": true}, {""name"": ""Luanda"", ""active"": true}, {""name"": ""Lunda Norte"", ""active"": true}, {""name"": ""Lunda Sul"", ""active"": true}, {""name"": ""Malanje"", ""active"": true}, {""name"": ""Moxico"", ""active"": true}, {""name"": ""Namibe"", ""active"": true}, {""name"": ""Uíge"", ""active"": true}, {""name"": ""Zaire"", ""active"": true}]",a37bbac6-b589-48ec-9977-4ffe06e99988,AN, ngola,🇦🇳
Kenya,"[{""name"": ""Baringo"", ""active"": true}, {""name"": ""Bomet"", ""active"": true}, {""name"": ""Bungoma"", ""active"": true}, {""name"": ""Busia"", ""active"": true}, {""name"": ""Elgeyo-Marakwet"", ""active"": true}, {""name"": ""Embu"", ""active"": true}, {""name"": ""Garissa"", ""active"": true}, {""name"": ""Homa Bay"", ""active"": true}, {""name"": ""Isiolo"", ""active"": true}, {""name"": ""Kajiado"", ""active"": true}, {""name"": ""Kakamega"", ""active"": true}, {""name"": ""Kericho"", ""active"": true}, {""name"": ""Kiambu"", ""active"": true}, {""name"": ""Kilifi"", ""active"": true}, {""name"": ""Kirinyaga"", ""active"": true}, {""name"": ""Kisii"", ""active"": true}, {""name"": ""Kisumu"", ""active"": true}, {""name"": ""Kitui"", ""active"": true}, {""name"": ""Kwale"", ""active"": true}, {""name"": ""Laikipia"", ""active"": true}, {""name"": ""Lamu"", ""active"": true}, {""name"": ""Machakos"", ""active"": true}, {""name"": ""Makueni"", ""active"": true}, {""name"": ""Mandera"", ""active"": true}, {""name"": ""Marsabit"", ""active"": true}, {""name"": ""Meru"", ""active"": true}, {""name"": ""Migori"", ""active"": true}, {""name"": ""Mombasa"", ""active"": true}, {""name"": ""Murang'a"", ""active"": true}, {""name"": ""Nairobi City"", ""active"": true}, {""name"": ""Nakuru"", ""active"": true}, {""name"": ""Nandi"", ""active"": true}, {""name"": ""Narok"", ""active"": true}, {""name"": ""Nyamira"", ""active"": true}, {""name"": ""Nyandarua"", ""active"": true}, {""name"": ""Nyeri"", ""active"": true}, {""name"": ""Samburu"", ""active"": true}, {""name"": ""Siaya"", ""active"": true}, {""name"": ""Taita-Taveta"", ""active"": true}, {""name"": ""Tana River"", ""active"": true}, {""name"": ""Tharaka-Nithi"", ""active"": true}, {""name"": ""Trans-Nzoia"", ""active"": true}, {""name"": ""Turkana"", ""active"": true}, {""name"": ""Uasin Gishu"", ""active"": true}, {""name"": ""Vihiga"", ""active"": true}, {""name"": ""Wajir"", ""active"": true}, {""name"": ""West Pokot"", ""active"": true}]",8c946fb5-d724-4183-9a2f-2b8b4c84dab3,KE, enya,🇰🇪
Kuwait,"[{""name"": ""Al Ahmadi"", ""active"": true}, {""name"": ""Al Farwaniyah"", ""active"": true}, {""name"": ""Al Asimah"", ""active"": true}, {""name"": ""Hawalli"", ""active"": true}, {""name"": ""Mubarak Al-Kabeer"", ""active"": true}, {""name"": ""Al Jahra"", ""active"": true}]",fbbe38a1-8b6a-48f4-8795-8861c90344ec,KU, uwait,🇰🇺
Kyrgyzstan,"[{""name"": ""Bishkek"", ""active"": true}, {""name"": ""Chuy"", ""active"": true}, {""name"": ""Jalal-Abad"", ""active"": true}, {""name"": ""Naryn"", ""active"": true}, {""name"": ""Osh"", ""active"": true}, {""name"": ""Talas"", ""active"": true}, {""name"": ""Batken"", ""active"": true}]",91893683-2d1d-443d-b44d-e5a82ee99d98,KY, yrgyzstan,🇰🇾
Laos,"[{""name"": ""Attapeu"", ""active"": true}, {""name"": ""Bokeo"", ""active"": true}, {""name"": ""Bolikhamsai"", ""active"": true}, {""name"": ""Champasak"", ""active"": true}, {""name"": ""Houaphanh"", ""active"": true}, {""name"": ""Khammouane"", ""active"": true}, {""name"": ""Luang Namtha"", ""active"": true}, {""name"": ""Luang Prabang"", ""active"": true}, {""name"": ""Oudomxay"", ""active"": true}, {""name"": ""Phongsaly"", ""active"": true}, {""name"": ""Salavan"", ""active"": true}, {""name"": ""Savannakhet"", ""active"": true}, {""name"": ""Sekong"", ""active"": true}, {""name"": ""Vientiane"", ""active"": true}, {""name"": ""Vientiane Prefecture"", ""active"": true}, {""name"": ""Xaignabouli"", ""active"": true}, {""name"": ""Xaisomboun"", ""active"": true}, {""name"": ""Xekong"", ""active"": true}, {""name"": ""Xiangkhouang"", ""active"": true}]",b2bcec6d-fa70-4d8a-b7aa-716cb9290b7b,LA, aos,🇱🇦
Latvia,"[{""name"": ""Aizkraukle"", ""active"": true}, {""name"": ""Alūksne"", ""active"": true}, {""name"": ""Balvi"", ""active"": true}, {""name"": ""Bauska"", ""active"": true}, {""name"": ""Cēsis"", ""active"": true}, {""name"": ""Daugavpils"", ""active"": true}, {""name"": ""Daugavpils City"", ""active"": true}, {""name"": ""Dobele"", ""active"": true}, {""name"": ""Gulbene"", ""active"": true}, {""name"": ""Jēkabpils"", ""active"": true}, {""name"": ""Jelgava"", ""active"": true}, {""name"": ""Jelgava City"", ""active"": true}, {""name"": ""Jūrmala"", ""active"": true}, {""name"": ""Kraslava"", ""active"": true}, {""name"": ""Kuldīga"", ""active"": true}, {""name"": ""Liepaja"", ""active"": true}, {""name"": ""Liepāja City"", ""active"": true}, {""name"": ""Limbaži"", ""active"": true}, {""name"": ""Ludza"", ""active"": true}, {""name"": ""Madona"", ""active"": true}, {""name"": ""Ogre"", ""active"": true}, {""name"": ""Preiļi"", ""active"": true}, {""name"": ""Rēzekne"", ""active"": true}, {""name"": ""Rēzekne City"", ""active"": true}, {""name"": ""Riga"", ""active"": true}, {""name"": ""Rīgas City"", ""active"": true}, {""name"": ""Saldus"", ""active"": true}, {""name"": ""Talsi"", ""active"": true}, {""name"": ""Tukums"", ""active"": true}, {""name"": ""Valka"", ""active"": true}, {""name"": ""Valmiera"", ""active"": true}, {""name"": ""Ventspils"", ""active"": true}, {""name"": ""Ventspils City"", ""active"": true}]",5addfb3b-16dd-4628-acee-aa7241dfa40d,LA, atvia,🇱🇦
Lebanon,"[{""name"": ""Akkar"", ""active"": true}, {""name"": ""Baalbek-Hermel"", ""active"": true}, {""name"": ""Beirut"", ""active"": true}, {""name"": ""Beqaa"", ""active"": true}, {""name"": ""Mount Lebanon"", ""active"": true}, {""name"": ""Nabatieh"", ""active"": true}, {""name"": ""North Governorate"", ""active"": true}, {""name"": ""South Governorate"", ""active"": true}]",9e3b1016-e590-4232-bc64-8f95a98236a1,LE, ebanon,🇱🇪
