scope,last_value,updated_at
CHILD|45d22466-bb01-4d2d-8d28-68fe8351ea1e|AH,2,2025-09-16 10:05:45.045072+00
CHILD|bd0f39b4-e69b-41e3-962b-a962b8bd3fd2|AF,2,2025-09-06 11:33:09.24056+00
CHILD|ea44522d-3692-4404-83d7-56cc9bbe4e5a|AI,2,2025-09-16 10:37:58.741057+00
CHILD|0862006c-492e-4864-b55a-21f3a8998365|AG,2,2025-09-13 23:32:54.718261+00
CHILD|15ebf208-06c7-4ac2-a287-9df12c0794fd|AH,2,2025-09-13 23:49:50.833401+00
CHILD|34cb0dd1-b04e-4216-84a1-28afac9e4f3c|AI,2,2025-09-14 00:02:59.414389+00
CHILD|37d2ba47-1f7a-48f3-aec4-31fd0dba1b9b|AJ,2,2025-09-14 00:07:53.39902+00
CHILD|8a10f729-3015-459a-ba62-566020475c45|AK,2,2025-09-14 00:11:03.609898+00
CHILD|90aaa83c-1bbf-4d8a-9cd8-ea01a535fbc7|AL,2,2025-09-14 00:17:53.044994+00
CHILD|8c97e1c9-0c4f-4449-ad68-e3e13f0d6fb7|AM,2,2025-09-14 00:27:36.492846+00
CHILD|e91fdd47-3f20-4441-a86e-c07e0b624549|AN,2,2025-09-14 00:42:40.146703+00
CHILD|8620fdda-2b16-4250-b6cc-f4aeb82491df|AO,2,2025-09-14 00:53:07.864121+00
CHILD|5509e0b5-4525-402d-a7d6-804cc9d7b4a7|AP,2,2025-09-14 06:34:45.444833+00
CHILD|c0b03561-92a3-4b2d-8edb-c665cabcd337|AQ,2,2025-09-14 07:02:07.980016+00
CHILD|b8a88256-efa6-420e-9f43-fa1c2b1ba343|AR,2,2025-09-14 07:22:20.896249+00
CHILD|59e3d186-14a1-42ae-9116-75f2f4fff1b6|AB,2,2025-09-15 11:20:10.024691+00
CHILD|a9f53467-904a-4c44-ba15-ddad68c9884c|AS,3,2025-09-14 11:13:27.880584+00
CHILD|39e60286-b55e-4955-b465-362989276e36|AC,2,2025-09-15 14:14:03.873146+00
CHILD|7a3be462-7ecc-4ce7-9f36-ffe75fce2b3c|AD,2,2025-09-16 01:55:55.207133+00
CHILD|90a4c7b3-d9a7-496e-93d8-532661fdc65d|AE,2,2025-09-16 03:32:32.205948+00
CHILD|b3cf27ae-085b-49da-a5da-864fd85ee0eb|AF,2,2025-09-16 03:55:59.136911+00
ROOT|India|Tamil Nadu,12,2025-09-16 09:08:21.523515+00
CHILD|086f4fbd-2b7b-46d6-bf88-96f5a0724328|AB,2,2025-09-16 09:13:03.565488+00
CHILD|95e6322e-9523-4644-9144-5708b8424f61|AC,2,2025-09-16 09:26:47.712652+00
CHILD|1d31c4ca-17dd-4e9b-a95c-94e548af5b96|AD,2,2025-09-16 09:47:12.086939+00
CHILD|0f567ba1-2d5a-416c-b728-f0f19ecf3ab7|AE,2,2025-09-16 09:50:31.704078+00
CHILD|fa1ead31-b102-46f6-ab14-5518f6c263d4|AF,2,2025-09-16 09:56:51.409109+00
CHILD|12d71be8-42f9-4e43-a7c5-c7cc4a980449|AG,2,2025-09-16 10:03:28.572192+00
CHILD|6a20195f-7195-469c-97f6-a19d3f68039d|AJ,4,2025-09-16 12:20:29.635462+00
CHILD|a1d338ca-1761-4c1b-838c-d6713cc53347|AK,3,2025-09-17 11:19:02.912654+00
